[2024-02-22 17:16:20,347: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 17:16:20,348: INFO: common: created directory at: artifacts]
[2024-02-22 17:16:20,349: INFO: common: created directory at: artifacts/training]
[2024-02-22 17:16:39,111: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 17:16:39,114: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 17:16:39,115: INFO: common: created directory at: artifacts]
[2024-02-22 17:16:39,115: INFO: common: created directory at: artifacts/training]
[2024-02-22 17:23:34,355: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-22 17:23:34,356: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 17:23:34,357: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 17:23:34,357: INFO: common: created directory at: artifacts]
[2024-02-22 17:23:34,357: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 17:23:34,357: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-22 17:23:34,357: INFO: data_ingestion: Download url https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3]
[2024-02-22 17:23:41,747: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into artifacts/data_ingestion/data.zip]
[2024-02-22 17:23:42,129: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<]
[2024-02-22 17:23:42,129: INFO: main: >>>>>> stage Prepare Base Model stage started <<<<<<]
[2024-02-22 17:23:42,130: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 17:23:42,131: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 17:23:42,131: INFO: common: created directory at: artifacts]
[2024-02-22 17:23:42,131: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-22 17:23:43,556: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-22 17:23:43,707: INFO: main: >>>>>> stage Prepare Base Model stage completed <<<<<<]
[2024-02-22 17:23:43,707: INFO: main: >>>>>> stage Training stage started <<<<<<]
[2024-02-22 17:23:43,709: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 17:23:43,710: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 17:23:43,710: INFO: common: created directory at: artifacts]
[2024-02-22 17:23:43,710: INFO: common: created directory at: artifacts/training]
[2024-02-22 17:23:49,107: INFO: main: >>>>>> stage Training stage completed <<<<<<]
[2024-02-22 21:03:08,656: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-22 21:03:08,657: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 21:03:08,657: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 21:03:08,658: INFO: common: created directory at: artifacts]
[2024-02-22 21:03:08,658: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 21:03:08,658: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-22 21:03:08,658: INFO: data_ingestion: Download url https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3]
[2024-02-22 21:03:15,696: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into artifacts/data_ingestion/data.zip]
[2024-02-22 21:03:16,047: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<]
[2024-02-22 21:03:16,047: INFO: main: >>>>>> stage Prepare Base Model stage started <<<<<<]
[2024-02-22 21:03:16,048: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 21:03:16,048: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 21:03:16,048: INFO: common: created directory at: artifacts]
[2024-02-22 21:03:16,049: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-22 21:03:16,889: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-22 21:03:17,027: INFO: main: >>>>>> stage Prepare Base Model stage completed <<<<<<]
[2024-02-22 21:03:17,027: INFO: main: >>>>>> stage Training stage started <<<<<<]
[2024-02-22 21:03:17,028: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 21:03:17,028: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 21:03:17,029: INFO: common: created directory at: artifacts]
[2024-02-22 21:03:17,029: INFO: common: created directory at: artifacts/training]
[2024-02-22 21:03:22,320: INFO: main: >>>>>> stage Training stage completed <<<<<<]
[2024-02-22 21:11:57,441: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 21:11:57,443: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 21:11:57,444: INFO: common: created directory at: artifacts]
[2024-02-22 21:23:10,125: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 21:23:10,127: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 21:23:10,128: INFO: common: created directory at: artifacts]
[2024-02-22 21:23:20,331: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 21:23:20,333: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 21:23:20,334: INFO: common: created directory at: artifacts]
[2024-02-22 21:27:37,373: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 21:27:37,376: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 21:27:37,377: INFO: common: created directory at: artifacts]
[2024-02-22 21:27:51,869: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 21:27:51,872: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 21:27:51,872: INFO: common: created directory at: artifacts]
[2024-02-22 21:28:36,073: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 21:28:36,075: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 21:28:36,076: INFO: common: created directory at: artifacts]
[2024-02-22 21:28:42,602: INFO: builder_impl: Assets written to: /tmp/tmpy8qq3csj/model/data/model/assets]
[2024-02-22 22:49:13,822: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 22:49:13,825: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 22:49:13,826: INFO: common: created directory at: artifacts]
[2024-02-22 22:49:13,827: INFO: common: created directory at: artifacts/training]
[2024-02-22 22:50:48,416: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 22:50:48,417: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 22:50:48,418: INFO: common: created directory at: artifacts]
[2024-02-22 22:50:48,419: INFO: common: created directory at: artifacts/training]
[2024-02-22 22:51:01,112: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 22:51:01,114: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 22:51:01,115: INFO: common: created directory at: artifacts]
[2024-02-22 22:51:01,116: INFO: common: created directory at: artifacts/training]
[2024-02-22 22:52:32,373: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 22:52:32,375: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 22:52:32,375: INFO: common: created directory at: artifacts]
[2024-02-22 22:52:32,376: INFO: common: created directory at: artifacts/training]
[2024-02-22 22:56:40,605: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 22:56:40,608: INFO: common: yaml file: params.yaml loaded successfully]
